Date/Time,Lat,Lon,Base,locationID
2014-04-10 23:29:00,40.7201,-74.0085,B02598,
2014-04-30 14:19:00,40.7555,-73.971,B02682,
2014-04-29 13:13:00,40.7699,-73.8644,B02617,
2014-04-04 18:02:00,40.698,-73.9304,B02512,
2014-04-25 08:15:00,40.7202,-73.9551,B02617,
2014-04-13 09:36:00,40.7552,-73.9863,B02598,
2014-04-30 19:06:00,40.7646,-73.9718,B02682,
2014-04-11 21:17:00,40.8266,-73.9255,B02682,
2014-04-07 22:29:00,40.6895,-73.9515,B02682,
2014-04-03 18:14:00,40.709,-74.0138,B02682,
2014-04-09 09:56:00,40.7635,-73.9889,B02682,
2014-04-08 09:25:00,40.6751,-73.9611,B02682,
2014-04-23 22:17:00,40.6465,-73.7768,B02598,
2014-04-11 08:42:00,40.7234,-73.9912,B02682,
2014-04-16 17:38:00,40.7635,-73.9749,B02617,
2014-04-08 18:50:00,40.7601,-73.9751,B02617,
2014-04-16 19:18:00,40.755,-73.975,B02682,
2014-04-04 21:53:00,40.6732,-73.9287,B02682,
2014-04-14 11:39:00,40.7559,-74.2123,B02617,
2014-04-11 09:17:00,40.7351,-73.9937,B02598,
2014-04-13 12:47:00,40.7388,-73.9738,B02598,
2014-04-03 15:27:00,40.7783,-73.9582,B02617,
2014-04-12 21:54:00,40.7081,-74.0177,B02598,
2014-04-17 17:09:00,40.7489,-73.9729,B02598,
2014-04-27 12:45:00,40.721,-73.9789,B02682,
2014-04-18 19:06:00,40.7405,-73.9851,B02598,
2014-04-23 21:07:00,40.7585,-73.9751,B02682,
2014-04-02 10:53:00,40.7227,-73.9979,B02682,
2014-04-03 23:09:00,40.763,-73.9719,B02682,
2014-04-25 16:40:00,40.7579,-73.9659,B02598,
2014-04-22 17:12:00,40.7676,-73.9674,B02682,
2014-04-30 20:05:00,40.7617,-73.9703,B02682,
2014-04-14 15:01:00,40.7654,-73.9809,B02598,
2014-04-21 08:36:00,40.7401,-73.9793,B02682,
2014-04-15 05:45:00,40.7868,-73.9812,B02682,
2014-04-07 06:27:00,40.7785,-73.9887,B02617,
2014-04-24 17:34:00,40.7609,-73.9867,B02617,
2014-04-25 21:53:00,40.6484,-73.7831,B02598,
2014-04-21 15:52:00,40.7278,-74.0073,B02682,
2014-04-08 10:15:00,40.79,-73.9542,B02682,
2014-04-06 21:06:00,40.7656,-73.9835,B02617,
2014-04-12 01:50:00,40.7117,-73.9631,B02598,
2014-04-01 22:46:00,40.7342,-73.9899,B02617,
2014-04-26 18:22:00,40.7579,-73.9755,B02598,
